Year,Month,Day,yday,mean_discharge_m3_s,total_discharge_m3_s,cum_discharge_m3_s,gageht_cm,n
2015,1,1,1,NA,0,0,156.46,288
2015,1,2,2,NA,0,0,156.01,288
2015,1,3,3,NA,0,0,155.36,288
2015,1,4,4,NA,0,0,155.45,288
2015,1,5,5,NA,0,0,155.75,288
2015,1,6,6,NA,0,0,155.4,288
2015,1,7,7,NA,0,0,155.13,288
2015,1,8,8,NA,0,0,154.67,288
2015,1,9,9,NA,0,0,154.5,288
2015,1,10,10,0.01,1.57,1.57,154.35,288
2015,1,11,11,0,1.25,2.82,154.2,288
2015,1,12,12,NA,0,2.82,154.21,288
2015,1,13,13,NA,0,2.82,154.2,288
2015,1,14,14,NA,0,2.82,154.2,283
2015,1,15,15,NA,0,2.82,154.2,288
2015,1,16,16,NA,0,2.82,154.2,288
2015,1,17,17,NA,0,2.82,154.02,288
2015,1,18,18,0,1.2,4.02,153.99,288
2015,1,19,19,0.04,11.19,15.21,159.62,288
2015,1,20,20,NA,0,15.21,157.97,288
2015,1,21,21,NA,0,15.21,156.43,288
2015,1,22,22,NA,0,15.21,155.67,288
2015,1,23,23,NA,0,15.21,155.18,288
2015,1,24,24,NA,0,15.21,155.06,288
2015,1,25,25,NA,0,15.21,154.56,288
2015,1,26,26,NA,0,15.21,154.57,288
2015,1,27,27,NA,0,15.21,154.76,288
2015,1,28,28,NA,0,15.21,154.56,288
2015,1,29,29,NA,0,15.21,154.28,288
2015,1,30,30,NA,0,15.21,154.2,288
2015,1,31,31,NA,0,15.21,154.2,288
2015,2,1,32,NA,0,15.21,154.07,288
2015,2,2,33,NA,0,15.21,154.19,288
2015,2,3,34,NA,0,15.21,154.02,288
2015,2,4,35,NA,0,15.21,153.9,288
2015,2,5,36,NA,0,15.21,153.9,288
2015,2,6,37,NA,0,15.21,154.1,288
2015,2,7,38,NA,0,15.21,153.99,288
2015,2,8,39,0,0.99,16.2,153.84,288
2015,2,9,40,0,0.87,17.07,153.72,288
2015,2,10,41,0,0.82,17.89,153.61,288
2015,2,11,42,NA,0,17.89,153.6,288
2015,2,12,43,NA,0,17.89,153.69,288
2015,2,13,44,NA,0,17.89,153.65,288
2015,2,14,45,NA,0,17.89,153.6,288
2015,2,15,46,NA,0,17.89,153.66,288
2015,2,16,47,NA,0,17.89,153.6,288
2015,2,17,48,NA,0,17.89,153.42,288
2015,2,18,49,0,0.82,18.71,153.3,288
2015,2,19,50,NA,0,18.71,153.38,288
2015,2,20,51,NA,0,18.71,153.32,288
2015,2,21,52,NA,0,18.71,153.3,288
2015,2,22,53,NA,0,18.71,153.32,288
2015,2,23,54,NA,0,18.71,153.3,288
2015,2,24,55,NA,0,18.71,153.31,288
2015,2,25,56,NA,0,18.71,153.3,288
2015,2,26,57,NA,0,18.71,153.29,288
2015,2,27,58,NA,0,18.71,153.14,288
2015,2,28,59,NA,0,18.71,153.11,288
2015,3,1,60,NA,0,18.71,153.01,288
2015,3,2,61,NA,0,18.71,153.3,288
2015,3,3,62,NA,0,18.71,153.27,287
2015,3,4,63,NA,0,18.71,153.3,288
2015,3,5,64,NA,0,18.71,153.3,288
2015,3,6,65,NA,0,18.71,153.13,288
2015,3,7,66,0,0.79,19.5,153,288
2015,3,8,67,0,0.74,20.24,153,276
2015,3,9,68,0,0.65,20.89,153,288
2015,3,10,69,0,0.61,21.5,153.17,288
2015,3,11,70,NA,0,21.5,154.62,288
2015,3,12,71,NA,0,21.5,154.59,288
2015,3,13,72,NA,0,21.5,153.93,288
2015,3,14,73,0,0.91,22.41,153.81,288
2015,3,15,74,NA,0,22.41,153.99,288
2015,3,16,75,NA,0,22.41,153.9,288
2015,3,17,76,NA,0,22.41,153.9,288
2015,3,18,77,NA,0,22.41,153.8,288
2015,3,19,78,NA,0,22.41,153.74,288
2015,3,20,79,NA,0,22.41,153.6,288
2015,3,21,80,NA,0,22.41,153.6,288
2015,3,22,81,NA,0,22.41,153.61,288
2015,3,23,82,NA,0,22.41,153.78,288
2015,3,24,83,NA,0,22.41,153.6,288
2015,3,25,84,NA,0,22.41,154.03,288
2015,3,26,85,0.01,2.15,24.56,154.99,288
2015,3,27,86,0.02,4.75,29.31,157.01,288
2015,3,28,87,0.01,3.33,32.64,156.08,288
2015,3,29,88,0.01,2.44,35.08,155.32,288
2015,3,30,89,0.01,2.05,37.13,155.1,288
2015,3,31,90,0.01,2.07,39.2,154.98,288
2015,4,1,91,0.01,2.04,41.24,155.1,288
2015,4,2,92,0.01,2.04,43.28,155.02,288
2015,4,3,93,0.02,4.97,48.25,156.82,288
