Year,Month,Day,yday,mean_discharge_m3_s,total_discharge_m3_s,cum_discharge_m3_s,gageht_cm,n
2015,4,4,94,0.05,13.16,61.41,160.56,288
2015,4,5,95,0.03,8.51,69.92,158.85,288
2015,4,6,96,0.02,5.52,75.44,157.44,288
2015,4,7,97,0.01,4.31,79.75,156.73,288
2015,4,8,98,0.01,3.77,83.52,156.39,288
2015,4,9,99,0.01,3.37,86.89,156.11,288
2015,4,10,100,0.02,4.79,91.68,156.85,288
2015,4,11,101,0.05,15.72,107.4,161.34,288
2015,4,12,102,0.06,18.16,125.56,161.9,288
2015,4,13,103,0.13,36.87,162.43,165.61,288
2015,4,14,104,0.18,51.75,214.18,168.22,288
2015,4,15,105,0.12,33.97,248.15,165.41,288
2015,4,16,106,0.09,24.6,272.75,163.58,288
2015,4,17,107,0.08,24.39,297.14,163.48,288
2015,4,18,108,0.09,26.96,324.1,164.08,288
2015,4,19,109,0.08,22.95,347.05,163.21,288
2015,4,20,110,0.07,18.95,366,162.26,288
2015,4,21,111,0.29,82.17,448.17,170.97,288
2015,4,22,112,0.11,30.71,478.88,164.79,288
2015,4,23,113,0.07,20.29,499.17,162.57,288
2015,4,24,114,0.05,14.89,514.06,161.11,288
2015,4,25,115,0.04,11.46,525.52,160.01,288
2015,4,26,116,0.03,8.88,534.4,159.04,288
2015,4,27,117,0.03,7.8,542.2,158.6,288
2015,4,28,118,0.02,6.66,548.86,158.02,288
2015,4,29,119,0.02,5.75,554.61,157.6,288
2015,4,30,120,0.02,4.91,559.52,157.1,288
2015,5,1,121,0.01,4.26,563.78,156.72,288
2015,5,2,122,0.01,3.84,567.62,156.44,288
2015,5,3,123,0.01,3.39,571.01,156.14,288
2015,5,4,124,0.01,3.05,574.06,155.87,288
2015,5,5,125,0.01,2.71,576.77,155.6,288
2015,5,6,126,0.01,2.45,579.22,155.4,288
2015,5,7,127,0.01,2.24,581.46,155.16,288
2015,5,8,128,0.01,2.04,583.5,154.97,288
2015,5,9,129,0.01,1.77,585.27,154.61,288
2015,5,10,130,0.01,2.08,587.35,154.99,288
2015,5,11,131,0.01,2.59,589.94,155.5,288
2015,5,12,132,0.01,3.21,593.15,155.98,288
2015,5,13,133,0.01,2.5,595.65,155.43,288
2015,5,14,134,NA,0,595.65,155.1,102
2015,5,15,135,NA,0,595.65,154.69,227
2015,5,16,136,0.01,1.63,597.28,154.5,288
2015,5,17,137,0.01,2.49,599.77,155.38,288
2015,5,18,138,0.01,2.17,601.94,155.08,288
2015,5,19,139,0.01,2.42,604.36,155.26,288
2015,5,20,140,NA,0,604.36,155.49,288
2015,5,21,141,NA,0,604.36,154.85,288
2015,5,22,142,0.01,2.01,606.37,154.9,288
2015,5,23,143,0.01,2.39,608.76,155.35,288
2015,5,24,144,0.01,1.81,610.57,154.78,288
2015,5,25,145,0.01,1.49,612.06,154.38,288
2015,5,26,146,0.01,2.58,614.64,155.47,288
2015,5,27,147,0.01,1.88,616.52,154.81,288
2015,5,28,148,0.01,2.71,619.23,155.25,288
2015,5,29,149,0.02,4.34,623.57,156.73,288
2015,5,30,150,0.01,2.51,626.08,155.48,288
2015,5,31,151,0.01,2.47,628.55,155.43,288
2015,6,1,152,0.01,4.19,632.74,156.62,288
2015,6,2,153,0.04,10.49,643.23,159.44,288
2015,6,3,154,0.03,9.68,652.91,159.31,288
2015,6,4,155,0.02,5.67,658.58,157.52,288
2015,6,5,156,0.01,3.99,662.57,156.56,288
2015,6,6,157,0.01,3.25,665.82,156.02,288
2015,6,7,158,0.01,2.33,668.15,155.22,288
2015,6,8,159,0.01,2.04,670.19,154.88,288
2015,6,9,160,0.01,2.08,672.27,155.07,288
2015,6,10,161,0.01,2.19,674.46,155.18,288
2015,6,11,162,0.01,2.01,676.47,155.04,288
2015,6,12,163,0.01,1.48,677.95,154.52,288
2015,6,13,164,0.02,4.91,682.86,156.96,288
2015,6,14,165,0.01,2.65,685.51,155.51,288
2015,6,15,166,NA,0,685.51,154.5,288
2015,6,16,167,NA,0,685.51,154.66,288
2015,6,17,168,NA,0,685.51,154.59,288
2015,6,18,169,0,1.06,686.57,153.92,288
2015,6,19,170,NA,0,686.57,153.76,288
2015,6,20,171,0,0.82,687.39,153.46,288
2015,6,21,172,0.04,11.76,699.15,158.79,288
2015,6,22,173,0.04,11.46,710.61,159.9,288
2015,6,23,174,0.03,8.23,718.84,158.59,288
2015,6,24,175,0.05,13.69,732.53,160.6,288
2015,6,25,176,0.02,6,738.53,157.69,288
2015,6,26,177,0.01,3.53,742.06,156.21,288
2015,6,27,178,0.01,2.47,744.53,155.37,288
2015,6,28,179,0.02,5.78,750.31,157.08,288
2015,6,29,180,0.04,10.31,760.62,159.55,288
2015,6,30,181,0.02,5.86,766.48,157.62,288
2015,7,1,182,0.01,4.19,770.67,156.65,288
2015,7,2,183,0.01,3.38,774.05,156.13,288
2015,7,3,184,0.01,2.29,776.34,155.24,288
2015,7,4,185,0,1.42,777.76,154.29,288
2015,7,5,186,0,1.22,778.98,154.07,288
2015,7,6,187,0,1.07,780.05,153.94,288
2015,7,7,188,0,0.98,781.03,153.58,288
2015,7,8,189,0,0.82,781.85,153.6,288
2015,7,9,190,0,0.68,782.53,153.31,288
2015,7,10,191,0,0.61,783.14,152.98,288
2015,7,11,192,0,0.41,783.55,152.68,288
2015,7,12,193,0,0.41,783.96,152.4,288
2015,7,13,194,0,0.27,784.23,152.13,288
2015,7,14,195,NA,0,784.23,151.95,288
2015,7,15,196,0,0.58,784.81,152.82,288
2015,7,16,197,0,0.41,785.22,152.46,288
2015,7,17,198,NA,0,785.22,152.06,288
2015,7,18,199,NA,0,785.22,151.99,288
2015,7,19,200,NA,0,785.22,152.2,288
2015,7,20,201,0,0.77,785.99,153.45,288
2015,7,21,202,0,0.41,786.4,152.77,288
2015,7,22,203,0,0.41,786.81,152.46,288
2015,7,23,204,0,0.23,787.04,151.98,288
2015,7,24,205,0,0.21,787.25,152.3,288
2015,7,25,206,0,0.41,787.66,152.59,288
2015,7,26,207,0,0.41,788.07,152.44,288
2015,7,27,208,0,0.41,788.48,152.99,288
2015,7,28,209,0,1.09,789.57,153.89,288
2015,7,29,210,0,0.6,790.17,152.94,288
2015,7,30,211,NA,0,790.17,152.28,288
2015,7,31,212,0,0.23,790.4,151.97,288
2015,8,1,213,NA,0,790.4,151.92,288
2015,8,2,214,NA,0,790.4,151.66,288
2015,8,3,215,0,0,790.4,151.17,288
2015,8,4,216,0,0,790.4,151.1,288
2015,8,5,217,0,0.21,790.61,151.74,288
2015,8,6,218,0,0.41,791.02,152.48,288
2015,8,7,219,0,0.28,791.3,152.19,288
2015,8,8,220,0,0,791.3,151.63,288
2015,8,9,221,0,0,791.3,151.25,288
2015,8,10,222,0,0,791.3,150.98,288
2015,8,11,223,0,0.32,791.62,151.56,288
2015,8,12,224,0.01,1.84,793.46,154.7,288
2015,8,13,225,0,0.65,794.11,153.22,288
2015,8,14,226,0,0.41,794.52,152.44,288
2015,8,15,227,0,0.87,795.39,152.93,288
2015,8,16,228,0,1,796.39,153.74,288
2015,8,17,229,0,0.41,796.8,152.53,288
2015,8,18,230,NA,0,796.8,152.12,288
2015,8,19,231,NA,0,796.8,151.89,288
2015,8,20,232,0,0,796.8,151.8,288
2015,8,21,233,NA,0,796.8,151.81,288
2015,8,22,234,NA,0,796.8,151.89,288
2015,8,23,235,0,0.15,796.95,152.06,288
2015,8,24,236,0,0.32,797.27,152.1,288
2015,8,25,237,0,0.02,797.29,151.92,288
2015,8,26,238,0,0.52,797.81,152.64,288
2015,8,27,239,0.01,1.51,799.32,154.36,288
2015,8,28,240,0,0.59,799.91,153,288
2015,8,29,241,0,0.41,800.32,152.43,288
2015,8,30,242,0,0.26,800.58,152.02,288
2015,8,31,243,NA,0,800.58,151.88,288
2015,9,1,244,NA,0,800.58,151.77,288
2015,9,2,245,NA,0,800.58,151.77,288
2015,9,3,246,NA,0,800.58,151.54,288
2015,9,4,247,0,0,800.58,151.11,288
2015,9,5,248,0,0,800.58,150.93,288
2015,9,6,249,0,0,800.58,150.8,288
2015,9,7,250,0,0,800.58,150.59,288
2015,9,8,251,0,0,800.58,150.15,288
2015,9,9,252,0,0,800.58,149.5,288
2015,9,10,253,0,0,800.58,148.91,288
2015,9,11,254,0,0.62,801.2,152.14,288
2015,9,12,255,NA,0,801.2,152.18,288
2015,9,13,256,NA,0,801.2,151.85,288
2015,9,14,257,0,0.78,801.98,153.34,288
2015,9,15,258,0,0.41,802.39,152.5,288
2015,9,16,259,0,0.21,802.6,151.97,288
2015,9,17,260,0,0,802.6,151.68,288
2015,9,18,261,0,0,802.6,151.65,288
2015,9,19,262,0,0,802.6,151.38,288
2015,9,20,263,0,0,802.6,151.56,288
2015,9,21,264,0,0,802.6,151.62,288
2015,9,22,265,0,0,802.6,151.19,288
2015,9,23,266,0,0,802.6,151.25,288
2015,9,24,267,0,0,802.6,150.89,288
2015,9,25,268,0,0,802.6,150.54,288
2015,9,26,269,0,0,802.6,150.13,288
2015,9,27,270,0,0,802.6,149.59,288
2015,9,28,271,0,0,802.6,149.25,288
2015,9,29,272,0,0,802.6,149.02,288
2015,9,30,273,0.55,159.82,962.42,170.84,288
2015,10,1,274,0.11,32.11,994.53,164.68,288
2015,10,2,275,0.03,9.91,1004.44,159.4,288
2015,10,3,276,NA,0,1004.44,157.95,288
2015,10,4,277,NA,0,1004.44,157.02,288
2015,10,5,278,NA,0,1004.44,156.44,288
2015,10,6,279,NA,0,1004.44,156.09,288
2015,10,7,280,NA,0,1004.44,155.89,288
2015,10,8,281,NA,0,1004.44,155.83,288
2015,10,9,282,NA,0,1004.44,157.32,288
2015,10,10,283,0.02,6.45,1010.89,157.87,288
2015,10,11,284,0.01,3.45,1014.34,156.2,288
2015,10,12,285,0.01,2.4,1016.74,155.36,288
2015,10,13,286,0.01,2.67,1019.41,155.56,288
2015,10,14,287,NA,0,1019.41,155.89,288
2015,10,15,288,NA,0,1019.41,155.31,288
2015,10,16,289,0.01,2.25,1021.66,155.24,288
2015,10,17,290,0.01,2.21,1023.87,155.18,288
2015,10,18,291,NA,0,1023.87,155,288
2015,10,19,292,0.01,2.04,1025.91,154.93,288
2015,10,20,293,0.01,2.05,1027.96,154.99,288
2015,10,21,294,0.01,2.04,1030,155.1,288
2015,10,22,295,0.01,1.84,1031.84,154.77,288
2015,10,23,296,0.01,1.6,1033.44,154.55,288
2015,10,24,297,0.01,1.48,1034.92,154.38,288
2015,10,25,298,0.01,1.83,1036.75,154.7,288
2015,10,26,299,0.01,1.6,1038.35,154.56,288
2015,10,27,300,NA,0.93,1039.28,NA,228
2015,10,28,301,0,1.24,1040.52,154.2,288
2015,10,29,302,0.26,73.97,1114.49,169.14,288
2015,10,30,303,0.06,17.27,1131.76,161.67,288
2015,10,31,304,0.03,8.25,1140.01,158.75,288
2015,11,1,305,0.02,6.49,1146.5,157.82,300
2015,11,2,306,0.02,5,1151.5,157.17,288
2015,11,3,307,0.01,4.13,1155.63,156.64,288
2015,11,4,308,0.01,3.52,1159.15,156.21,288
2015,11,5,309,0.01,3.26,1162.41,156,288
2015,11,6,310,0.01,3.26,1165.67,156,288
2015,11,7,311,0.01,3.01,1168.68,155.84,288
2015,11,8,312,0.01,2.57,1171.25,155.49,288
2015,11,9,313,0.01,2.45,1173.7,155.4,288
2015,11,10,314,NA,1.28,1174.98,155.3,288
2015,11,11,315,NA,0.03,1175.01,155.08,288
2015,11,12,316,NA,1.27,1176.28,155.28,288
2015,11,13,317,0.02,6.32,1182.6,157.87,288
2015,11,14,318,0.01,4,1186.6,156.56,288
2015,11,15,319,NA,2.84,1189.44,156.01,288
2015,11,16,320,0.01,2.72,1192.16,155.6,288
2015,11,17,321,0.01,2.45,1194.61,155.4,288
2015,11,18,322,0.01,2.32,1196.93,155.19,288
2015,11,19,323,0.01,2.04,1198.97,155.1,288
2015,11,20,324,0.04,10.7,1209.67,158.64,288
2015,11,21,325,0.05,14.45,1224.12,160.86,288
2015,11,22,326,0.03,9.37,1233.49,159.06,288
2015,11,23,327,0.11,32.59,1266.08,164.88,288
2015,11,24,328,0.04,10.74,1276.82,159.72,288
2015,11,25,329,0.02,6.54,1283.36,157.97,288
2015,11,26,330,0.02,6.08,1289.44,157.73,288
2015,11,27,331,0.03,8.72,1298.16,158.96,288
2015,11,28,332,0.02,6.61,1304.77,158.03,288
2015,11,29,333,0.02,5.1,1309.87,157.22,288
2015,11,30,334,0.01,4.12,1313.99,156.64,288
2015,12,1,335,0.01,3.67,1317.66,156.3,288
2015,12,2,336,0.02,6.05,1323.71,157.63,288
2015,12,3,337,0.04,11.42,1335.13,159.98,288
2015,12,4,338,0.03,8.89,1344.02,159.02,288
2015,12,5,339,0.02,6.53,1350.55,157.94,288
2015,12,6,340,0.02,5.62,1356.17,157.52,288
2015,12,7,341,0.02,4.77,1360.94,157.05,288
2015,12,8,342,0.01,4.05,1364.99,156.58,288
2015,12,9,343,0.01,3.55,1368.54,156.24,288
2015,12,10,344,0.01,3.26,1371.8,156,288
2015,12,11,345,0.01,3.55,1375.35,156.23,288
2015,12,12,346,0.01,3.29,1378.64,156.05,288
2015,12,13,347,0.01,2.86,1381.5,155.77,288
2015,12,14,348,0.01,3.15,1384.65,155.95,288
2015,12,15,349,0.06,18.2,1402.85,161.67,288
2015,12,16,350,0.04,11.83,1414.68,160.08,288
2015,12,17,351,0.04,10.77,1425.45,159.55,288
2015,12,18,352,0.09,24.66,1450.11,163.5,288
2015,12,19,353,0.04,11.02,1461.13,159.82,288
2015,12,20,354,0.02,6.89,1468.02,158.14,288
2015,12,21,355,0.02,5.5,1473.52,157.45,288
2015,12,22,356,0.03,8.66,1482.18,158.59,288
2015,12,23,357,0.05,14.24,1496.42,160.89,288
2015,12,24,358,0.09,24.86,1521.28,163.51,288
2015,12,25,359,0.05,13.63,1534.91,160.69,288
2015,12,26,360,0.03,8.38,1543.29,158.82,288
2015,12,27,361,0.02,6.69,1549.98,158.06,288
2015,12,28,362,NA,4.7,1554.68,157.28,288
2015,12,29,363,NA,0.06,1554.74,156.99,288
2015,12,30,364,NA,2.44,1557.18,156.7,288
2015,12,31,365,0.02,6.6,1563.78,157.97,288
2016,1,1,1,0.02,5.31,5.31,157.36,288
2016,1,2,2,0.02,4.41,9.72,156.81,288
2016,1,3,3,0.01,3.94,13.66,156.53,288
2016,1,4,4,NA,1.25,14.91,156.18,288
2016,1,5,5,NA,0.04,14.95,155.94,288
2016,1,6,6,NA,0.04,14.99,155.76,288
2016,1,7,7,NA,2.73,17.72,155.66,288
2016,1,8,8,0.01,2.45,20.17,155.4,288
2016,1,9,9,0.01,2.45,22.62,155.4,288
2016,1,10,10,NA,45.22,67.84,162.97,288
2016,1,11,11,NA,50.02,117.86,169.57,288
2016,1,12,12,NA,5.45,123.31,160.93,287
2016,1,13,13,NA,0.06,123.37,159.03,288
2016,1,14,14,NA,0.04,123.41,157.97,288
2016,1,15,15,NA,0.04,123.45,157.33,288
2016,1,16,16,NA,0.03,123.48,157.01,288
2016,1,17,17,NA,0.03,123.51,156.64,288
2016,1,18,18,NA,0.03,123.54,156.5,288
2016,1,19,19,NA,0.02,123.56,156.19,288
2016,1,20,20,NA,0.02,123.58,155.99,288
2016,1,21,21,NA,0.02,123.6,155.75,288
2016,1,22,22,NA,0.02,123.62,155.66,288
2016,1,23,23,NA,0.02,123.64,155.4,288
2016,1,24,24,NA,0.02,123.66,155.37,288
2016,1,25,25,NA,0.01,123.67,155.13,288
2016,1,26,26,NA,0.02,123.69,155.34,288
2016,1,27,27,NA,0.02,123.71,155.54,288
2016,1,28,28,NA,0.01,123.72,155.17,288
2016,1,29,29,NA,0.01,123.73,155.1,288
2016,1,30,30,NA,0.01,123.74,154.76,288
2016,1,31,31,NA,0.01,123.75,154.51,288
2016,2,1,32,NA,0.05,123.8,155.94,288
2016,2,2,33,NA,0.04,123.84,155.96,288
2016,2,3,34,NA,0.07,123.91,156.65,288
2016,2,4,35,NA,0.28,124.19,162.57,288
2016,2,5,36,NA,0.14,124.33,159.7,288
2016,2,6,37,NA,0.08,124.41,157.95,288
2016,2,7,38,NA,0.07,124.48,157.18,288
2016,2,8,39,NA,0.06,124.54,156.73,288
2016,2,9,40,NA,0.05,124.59,156.49,288
2016,2,10,41,NA,0.05,124.64,156.17,288
2016,2,11,42,NA,0.04,124.68,156,288
2016,2,12,43,NA,0.04,124.72,155.98,288
2016,2,13,44,NA,0.04,124.76,155.88,288
2016,2,14,45,NA,0.03,124.79,155.54,288
2016,2,15,46,NA,0.03,124.82,155.39,288
2016,2,16,47,NA,2.17,126.99,162.91,288
2016,2,17,48,NA,39.78,166.77,168.04,287
2016,2,18,49,0.05,13.35,180.12,160.58,288
2016,2,19,50,NA,2.32,182.44,158.55,288
2016,2,20,51,NA,0.1,182.54,158.88,288
2016,2,21,52,NA,0.11,182.65,159.35,288
2016,2,22,53,NA,0.08,182.73,158.22,288
2016,2,23,54,NA,0.07,182.8,157.28,288
2016,2,24,55,NA,0.06,182.86,157.32,288
2016,2,25,56,NA,24.87,207.73,169.3,288
2016,2,26,57,0.09,25.4,233.13,163.59,288
2016,2,27,58,NA,3.5,236.63,159.83,288
2016,2,28,59,NA,0.11,236.74,158.51,288
2016,2,29,60,NA,0.09,236.83,158.08,288
2016,3,1,61,NA,0.08,236.91,157.47,288
2016,3,2,62,NA,0.12,237.03,159.88,288
2016,3,3,63,NA,0.12,237.15,159.29,288
2016,3,4,64,NA,0.08,237.23,158,288
2016,3,5,65,NA,0.07,237.3,157.09,288
2016,3,6,66,NA,0.06,237.36,156.57,288
2016,3,7,67,NA,0.05,237.41,156.3,288
2016,3,8,68,NA,0.05,237.46,156.44,288
2016,3,9,69,NA,0.05,237.51,156.61,288
2016,3,10,70,NA,0.06,237.57,156.69,288
2016,3,11,71,NA,0.07,237.64,157.46,288
2016,3,12,72,NA,0.07,237.71,157.14,288
2016,3,13,73,NA,0.06,237.77,156.72,276
2016,3,14,74,NA,0.05,237.82,156.37,288
2016,3,15,75,NA,0.05,237.87,156.47,288
2016,3,16,76,NA,0.09,237.96,158.21,288
2016,3,17,77,NA,0.11,238.07,159.09,288
2016,3,18,78,NA,0.14,238.21,159.51,288
2016,3,19,79,NA,0.09,238.3,158.05,288
2016,3,20,80,NA,0.07,238.37,157.22,288
2016,3,21,81,NA,0.06,238.43,156.91,288
2016,3,22,82,NA,0.05,238.48,156.58,288
2016,3,23,83,NA,0.05,238.53,156.5,288
2016,3,24,84,NA,0.05,238.58,156.27,288
2016,3,25,85,NA,3.1,241.68,157.14,288
2016,3,26,86,0.02,5.85,247.53,157.66,288
2016,3,27,87,0.02,5.65,253.18,157.49,288
2016,3,28,88,0.02,6.84,260.02,158.05,288
2016,3,29,89,0.06,18.67,278.69,162.1,288
2016,3,30,90,0.04,10.84,289.53,159.78,288
2016,3,31,91,0.04,10.95,300.48,159.84,288
2016,4,1,92,0.05,13.36,313.84,160.54,288
2016,4,2,93,0.07,20.18,334.02,162.47,288
2016,4,3,94,0.04,10.77,344.79,159.74,288
2016,4,4,95,0.02,7.11,351.9,158.25,288
2016,4,5,96,0.02,5.68,357.58,157.54,288
2016,4,6,97,0.02,4.85,362.43,157.08,288
2016,4,7,98,0.04,10.94,373.37,159.02,288
2016,4,8,99,0.18,52.32,425.69,167.69,288
2016,4,9,100,0.05,14.55,440.24,160.97,288
2016,4,10,101,0.03,8.92,449.16,159.03,288
2016,4,11,102,0.02,7.2,456.36,158.28,288
2016,4,12,103,0.06,17.88,474.24,161.41,288
2016,4,13,104,0.07,20.03,494.27,162.42,288
2016,4,14,105,0.04,9.72,503.99,NA,265
2016,4,15,106,0.03,7.61,511.6,158.49,288
2016,4,16,107,0.02,6.23,517.83,157.82,288
2016,4,17,108,0.02,5.35,523.18,157.36,288
2016,4,18,109,0.02,4.67,527.85,157.02,288
2016,4,19,110,NA,2.98,530.83,156.75,288
2016,4,20,111,NA,0.03,530.86,156.49,288
2016,4,21,112,NA,0.02,530.88,156.18,288
2016,4,22,113,NA,0.02,530.9,155.97,288
2016,4,23,114,NA,0.02,530.92,155.89,288
2016,4,24,115,NA,0.02,530.94,155.6,288
2016,4,25,116,NA,0.02,530.96,155.4,288
2016,4,26,117,NA,0.01,530.97,155.4,288
2016,4,27,118,NA,0.01,530.98,155.22,288
2016,4,28,119,NA,0.01,530.99,155.07,288
2016,4,29,120,NA,1.52,532.51,154.66,288
2016,4,30,121,0.01,1.63,534.14,154.5,288
2016,5,1,122,0.01,1.63,535.77,154.41,288
2016,5,2,123,0.01,2.06,537.83,154.81,288
2016,5,3,124,0.01,2.89,540.72,155.74,288
2016,5,4,125,0.01,2.22,542.94,155.19,288
2016,5,5,126,0.01,3.47,546.41,156.2,288
2016,5,6,127,0.02,5.63,552.04,157.49,288
2016,5,7,128,0.01,3.89,555.93,156.49,288
2016,5,8,129,0.03,8.14,564.07,158.64,288
2016,5,9,130,0.03,10.07,574.14,159.46,288
2016,5,10,131,0.02,5.94,580.08,157.66,288
2016,5,11,132,0.02,4.44,584.52,156.84,288
2016,5,12,133,0.01,3.69,588.21,156.35,288
2016,5,13,134,0.01,3.22,591.43,156,288
2016,5,14,135,0.02,4.73,596.16,156.98,288
2016,5,15,136,NA,1.07,597.23,156.48,288
2016,5,16,137,NA,0.02,597.25,156.04,288
2016,5,17,138,NA,0.02,597.27,155.76,288
2016,5,18,139,NA,0.02,597.29,155.55,288
2016,5,19,140,NA,0.01,597.3,155.38,288
2016,5,20,141,NA,0.24,597.54,155.19,288
2016,5,21,142,0.01,1.68,599.22,154.69,288
2016,5,22,143,0.01,1.63,600.85,154.5,288
2016,5,23,144,NA,0.79,601.64,154.51,288
2016,5,24,145,NA,0.01,601.65,154.5,288
2016,5,25,146,NA,1.06,602.71,154.24,288
2016,5,26,147,0,0.46,603.17,NA,109
2016,5,27,148,0,0.11,603.28,NA,33
2016,5,28,149,0.01,1.49,604.77,154.35,288
2016,5,29,150,NA,0.56,605.33,153.9,288
2016,5,30,151,NA,0.66,605.99,153.69,288
2016,5,31,152,0,0.98,606.97,153.63,288
2016,6,1,153,0,0.68,607.65,153.19,288
2016,6,2,154,0,0.61,608.26,153,288
2016,6,3,155,0,0.46,608.72,153,288
2016,6,4,156,0,0.59,609.31,153.05,288
2016,6,5,157,0,0.43,609.74,152.91,288
2016,6,6,158,0.02,4.62,614.36,156.72,288
2016,6,7,159,0.01,2.02,616.38,154.94,288
2016,6,8,160,0.01,2.39,618.77,155.31,288
2016,6,9,161,NA,1.23,620,154.42,288
2016,6,10,162,0,1.02,621.02,153.76,288
2016,6,11,163,0,0.82,621.84,153.47,288
2016,6,12,164,NA,0.94,622.78,154.01,288
2016,6,13,165,0.01,3.86,626.64,156.45,288
2016,6,14,166,0.01,2.88,629.52,155.72,288
2016,6,15,167,0.01,1.85,631.37,154.81,288
2016,6,16,168,0,1.39,632.76,154.2,288
2016,6,17,169,0,1.01,633.77,153.69,288
2016,6,18,170,NA,0.7,634.47,153.32,288
2016,6,19,171,0,0.56,635.03,152.99,288
2016,6,20,172,NA,0.4,635.43,152.82,288
2016,6,21,173,NA,0.38,635.81,152.63,288
