"Date","mean_discharge_m3_s","total_discharge_m3_s","gageht_cm","n","yday","year","group","cum_m3_s"
2015-01-01,NA,0,156.46,288,1,2015,"grp1",0
2015-01-02,NA,0,156.01,288,2,2015,"grp1",0
2015-01-03,NA,0,155.36,288,3,2015,"grp1",0
2015-01-04,NA,0,155.45,288,4,2015,"grp1",0
2015-01-05,NA,0,155.75,288,5,2015,"grp1",0
2015-01-06,NA,0,155.4,288,6,2015,"grp1",0
2015-01-07,NA,0,155.13,288,7,2015,"grp1",0
2015-01-08,NA,0,154.67,288,8,2015,"grp1",0
2015-01-09,NA,0,154.5,288,9,2015,"grp1",0
2015-01-10,0.01,1.57,154.35,288,10,2015,"grp1",1.57
2015-01-11,0,1.25,154.2,288,11,2015,"grp1",2.82
2015-01-12,NA,0,154.21,288,12,2015,"grp1",2.82
2015-01-13,NA,0,154.2,288,13,2015,"grp1",2.82
2015-01-14,NA,0,154.2,283,14,2015,"grp1",2.82
2015-01-15,NA,0,154.2,288,15,2015,"grp1",2.82
2015-01-16,NA,0,154.2,288,16,2015,"grp1",2.82
2015-01-17,NA,0,154.02,288,17,2015,"grp1",2.82
2015-01-18,0,1.2,153.99,288,18,2015,"grp1",4.02
2015-01-19,0.04,11.19,159.62,288,19,2015,"grp1",15.21
2015-01-20,NA,0,157.97,288,20,2015,"grp1",15.21
2015-01-21,NA,0,156.43,288,21,2015,"grp1",15.21
2015-01-22,NA,0,155.67,288,22,2015,"grp1",15.21
2015-01-23,NA,0,155.18,288,23,2015,"grp1",15.21
2015-01-24,NA,0,155.06,288,24,2015,"grp1",15.21
2015-01-25,NA,0,154.56,288,25,2015,"grp1",15.21
2015-01-26,NA,0,154.57,288,26,2015,"grp1",15.21
2015-01-27,NA,0,154.76,288,27,2015,"grp1",15.21
2015-01-28,NA,0,154.56,288,28,2015,"grp1",15.21
2015-01-29,NA,0,154.28,288,29,2015,"grp1",15.21
2015-01-30,NA,0,154.2,288,30,2015,"grp1",15.21
2015-01-31,NA,0,154.2,288,31,2015,"grp1",15.21
2015-02-01,NA,0,154.07,288,32,2015,"grp1",15.21
2015-02-02,NA,0,154.19,288,33,2015,"grp1",15.21
2015-02-03,NA,0,154.02,288,34,2015,"grp1",15.21
2015-02-04,NA,0,153.9,288,35,2015,"grp1",15.21
2015-02-05,NA,0,153.9,288,36,2015,"grp1",15.21
2015-02-06,NA,0,154.1,288,37,2015,"grp1",15.21
2015-02-07,NA,0,153.99,288,38,2015,"grp1",15.21
2015-02-08,0,0.99,153.84,288,39,2015,"grp1",16.2
2015-02-09,0,0.87,153.72,288,40,2015,"grp1",17.07
2015-02-10,0,0.82,153.61,288,41,2015,"grp1",17.89
2015-02-11,NA,0,153.6,288,42,2015,"grp1",17.89
2015-02-12,NA,0,153.69,288,43,2015,"grp1",17.89
2015-02-13,NA,0,153.65,288,44,2015,"grp1",17.89
2015-02-14,NA,0,153.6,288,45,2015,"grp1",17.89
2015-02-15,NA,0,153.66,288,46,2015,"grp1",17.89
2015-02-16,NA,0,153.6,288,47,2015,"grp1",17.89
2015-02-17,NA,0,153.42,288,48,2015,"grp1",17.89
2015-02-18,0,0.82,153.3,288,49,2015,"grp1",18.71
2015-02-19,NA,0,153.38,288,50,2015,"grp1",18.71
2015-02-20,NA,0,153.32,288,51,2015,"grp1",18.71
